"GEO_ID","id"
"NAME","Geographic Area Name"
"B25096_001E","Estimate!!Total:"
"B25096_001M","Margin of Error!!Total:"
"B25096_002E","Estimate!!Total:!!With a mortgage:"
"B25096_002M","Margin of Error!!Total:!!With a mortgage:"
"B25096_003E","Estimate!!Total:!!With a mortgage:!!Less than $50,000"
"B25096_003M","Margin of Error!!Total:!!With a mortgage:!!Less than $50,000"
"B25096_004E","Estimate!!Total:!!With a mortgage:!!$50,000 to $99,999"
"B25096_004M","Margin of Error!!Total:!!With a mortgage:!!$50,000 to $99,999"
"B25096_005E","Estimate!!Total:!!With a mortgage:!!$100,000 to $149,999"
"B25096_005M","Margin of Error!!Total:!!With a mortgage:!!$100,000 to $149,999"
"B25096_006E","Estimate!!Total:!!With a mortgage:!!$150,000 to $199,999"
"B25096_006M","Margin of Error!!Total:!!With a mortgage:!!$150,000 to $199,999"
"B25096_007E","Estimate!!Total:!!With a mortgage:!!$200,000 to $299,999"
"B25096_007M","Margin of Error!!Total:!!With a mortgage:!!$200,000 to $299,999"
"B25096_008E","Estimate!!Total:!!With a mortgage:!!$300,000 to $499,999"
"B25096_008M","Margin of Error!!Total:!!With a mortgage:!!$300,000 to $499,999"
"B25096_009E","Estimate!!Total:!!With a mortgage:!!$500,000 to $749,999"
"B25096_009M","Margin of Error!!Total:!!With a mortgage:!!$500,000 to $749,999"
"B25096_010E","Estimate!!Total:!!With a mortgage:!!$750,000 to $999,999"
"B25096_010M","Margin of Error!!Total:!!With a mortgage:!!$750,000 to $999,999"
"B25096_011E","Estimate!!Total:!!With a mortgage:!!$1,000,000 or more"
"B25096_011M","Margin of Error!!Total:!!With a mortgage:!!$1,000,000 or more"
"B25096_012E","Estimate!!Total:!!Not mortgaged:"
"B25096_012M","Margin of Error!!Total:!!Not mortgaged:"
"B25096_013E","Estimate!!Total:!!Not mortgaged:!!Less than $50,000"
"B25096_013M","Margin of Error!!Total:!!Not mortgaged:!!Less than $50,000"
"B25096_014E","Estimate!!Total:!!Not mortgaged:!!$50,000 to $99,999"
"B25096_014M","Margin of Error!!Total:!!Not mortgaged:!!$50,000 to $99,999"
"B25096_015E","Estimate!!Total:!!Not mortgaged:!!$100,000 to $149,999"
"B25096_015M","Margin of Error!!Total:!!Not mortgaged:!!$100,000 to $149,999"
"B25096_016E","Estimate!!Total:!!Not mortgaged:!!$150,000 to $199,999"
"B25096_016M","Margin of Error!!Total:!!Not mortgaged:!!$150,000 to $199,999"
"B25096_017E","Estimate!!Total:!!Not mortgaged:!!$200,000 to $299,999"
"B25096_017M","Margin of Error!!Total:!!Not mortgaged:!!$200,000 to $299,999"
"B25096_018E","Estimate!!Total:!!Not mortgaged:!!$300,000 to $499,999"
"B25096_018M","Margin of Error!!Total:!!Not mortgaged:!!$300,000 to $499,999"
"B25096_019E","Estimate!!Total:!!Not mortgaged:!!$500,000 to $749,999"
"B25096_019M","Margin of Error!!Total:!!Not mortgaged:!!$500,000 to $749,999"
"B25096_020E","Estimate!!Total:!!Not mortgaged:!!$750,000 to $999,999"
"B25096_020M","Margin of Error!!Total:!!Not mortgaged:!!$750,000 to $999,999"
"B25096_021E","Estimate!!Total:!!Not mortgaged:!!$1,000,000 or more"
"B25096_021M","Margin of Error!!Total:!!Not mortgaged:!!$1,000,000 or more"
